id,label
TEST_000,0
TEST_001,0
TEST_002,0
TEST_003,0
TEST_004,0
TEST_005,0
TEST_006,0
TEST_007,0
TEST_008,1
TEST_009,1
TEST_010,1
TEST_011,0
TEST_012,0
TEST_013,0
TEST_014,1
TEST_015,1
TEST_016,0
TEST_017,1
TEST_018,1
TEST_019,0
TEST_020,1
TEST_021,0
TEST_022,0
TEST_023,0
TEST_024,0
TEST_025,0
TEST_026,0
TEST_027,0
TEST_028,0
TEST_029,0
TEST_030,0
TEST_031,0
TEST_032,0
TEST_033,0
TEST_034,1
TEST_035,0
TEST_036,0
TEST_037,0
TEST_038,0
TEST_039,0
TEST_040,0
TEST_041,0
TEST_042,0
TEST_043,0
TEST_044,0
TEST_045,1
TEST_046,1
TEST_047,1
TEST_048,0
TEST_049,0
TEST_050,0
TEST_051,1
TEST_052,0
TEST_053,0
TEST_054,0
TEST_055,0
TEST_056,0
TEST_057,1
TEST_058,0
TEST_059,1
TEST_060,1
TEST_061,0
TEST_062,0
TEST_063,0
TEST_064,1
TEST_065,0
TEST_066,0
TEST_067,0
TEST_068,1
TEST_069,0
TEST_070,1
TEST_071,1
TEST_072,1
TEST_073,0
TEST_074,0
TEST_075,0
TEST_076,1
TEST_077,1
TEST_078,1
TEST_079,0
TEST_080,0
TEST_081,1
TEST_082,1
TEST_083,0
TEST_084,1
TEST_085,0
TEST_086,0
TEST_087,0
TEST_088,0
TEST_089,0
TEST_090,0
TEST_091,0
TEST_092,0
TEST_093,0
TEST_094,1
TEST_095,1
TEST_096,1
TEST_097,0
TEST_098,1
TEST_099,1
